_id,AREA_NAME,HOOD_ID,ASSAULT_2025,ASSAULT_RATE_2025,AUTOTHEFT_2025,AUTOTHEFT_RATE_2025,BREAKENTER_2025,BREAKENTER_RATE_2025,HOMICIDE_2025,HOMICIDE_RATE_2025,ROBBERY_2025,ROBBERY_RATE_2025,SHOOTING_2025,SHOOTING_RATE_2025,THEFTFROMMV_2025,THEFTFROMMV_RATE_2025,THEFTOVER_2025,THEFTOVER_RATE_2025,POPULATION_2025
116,Willowdale West,37,119,561.161926269531,19,89.597282409668,22,103.74422454834,0,0.0,11,51.8721122741699,0,0.0,30,141.469390869141,8,37.7251739501953,21206
117,Newtonbrook West,36,188,710.586975097656,117,442.227020263672,51,192.765625,0,0.0,25,94.4929504394531,0,0.0,67,253.241104125977,20,75.5943603515625,26457
118,Westminster-Branson,35,147,512.320068359375,54,188.19921875,17,59.2479019165039,0,0.0,9,31.3665351867676,0,0.0,35,121.980972290039,7,24.3961944580078,28693
119,Bathurst Manor,34,90,510.233001708984,25,141.731384277344,20,113.385108947754,0,0.0,14,79.3695755004883,2,11.338511253472419,27,153.069900512695,10,56.692554473877,17639
120,Clanton Park,33,123,584.128784179688,39,185.211563110352,28,132.972412109375,0,0.0,20,94.9802932739258,1,4.74901457947476,41,194.709594726563,19,90.2312774658203,21057
121,Englemount-Lawrence,32,130,539.889526367188,36,149.507873535156,33,137.048873901367,1,4.152996386893143,11,45.6829605102539,6,24.91797832135886,50,207.649826049805,7,29.0709743499756,24079
122,Yorkdale-Glen Park,31,256,1212.63793945313,104,492.634185791016,72,341.054412841797,1,4.7368670361422955,31,146.842880249023,6,28.42120221685377,76,360.001892089844,58,274.73828125,21111
123,Brookhaven-Amesbury,30,117,610.870361328125,37,193.181228637695,32,167.075653076172,1,5.2211141857672425,12,62.6533699035645,2,10.442228371534485,35,182.738998413086,9,46.9900283813477,19153
124,Maple Leaf,29,43,379.623901367188,35,308.996215820313,9,79.456169128418,0,0.0,3,26.4853897094727,1,8.828462964597863,25,220.711578369141,6,52.9707794189453,11327
125,Rustic,28,101,971.247253417969,22,211.558807373047,9,86.5467834472656,0,0.0,2,19.2326183319092,0,0.0,12,115.395713806152,3,28.8489284515381,10399
126,York University Heights,27,428,1274.11291503906,213,634.079528808594,126,375.089294433594,0,0.0,43,128.00666809082,4,11.907597046915932,105,312.574432373047,60,178.613952636719,33592
127,Glenfield-Jane Heights,25,345,1083.84912109375,72,226.194595336914,36,113.097297668457,0,0.0,46,144.513214111328,8,25.132732242153878,31,97.3893356323242,20,62.8318290710449,31831
128,Broadview North,57,72,583.232055664063,24,194.410690307617,12,97.2053451538086,0,0.0,1,8.10044574737549,0,0.0,13,105.305793762207,3,24.3013362884521,12345
129,Leaside-Bennington,56,40,212.924514770508,56,298.094329833984,34,180.98583984375,0,0.0,2,10.6462259292603,0,0.0,44,234.21696472168,9,47.908016204834,18786
130,Thorncliffe Park,55,152,637.958557128906,90,377.738616943359,25,104.927391052246,0,0.0,20,83.9419097900391,0,0.0,54,226.643157958984,13,54.5622444152832,23826
131,O'Connor-Parkview,54,156,755.557678222656,37,179.202789306641,16,77.4930953979492,0,0.0,9,43.5898666381836,1,4.843318641933453,40,193.73274230957,8,38.7465476989746,20647
132,Henry Farm,53,73,286.848205566406,49,192.541946411133,14,55.0119857788086,1,3.929427482415812,13,51.0825576782227,1,3.929427482415812,24,94.3062591552734,7,27.5059928894043,25449
133,Bayview Village,52,132,439.4580078125,42,139.827545166016,53,176.44905090332,0,0.0,17,56.5968627929688,0,0.0,51,169.790588378906,15,49.9384078979492,30037
134,Newtonbrook East,50,101,554.001403808594,46,252.317474365234,31,170.0400390625,0,0.0,11,60.3367881774902,0,0.0,31,170.0400390625,9,49.3664627075195,18231
135,Bayview Woods-Steeles,49,40,285.877655029297,20,142.938827514648,32,228.702117919922,1,7.14694110920526,8,57.1755294799805,0,0.0,28,200.114349365234,5,35.7347068786621,13992
136,Hillcrest Village,48,84,467.315704345703,21,116.828926086426,36,200.278167724609,0,0.0,30,166.898468017578,1,5.563282336578581,31,172.46174621582,15,83.4492340087891,17975
137,Alderwood,20,73,508.108856201172,32,222.732650756836,29,201.851470947266,0,0.0,10,69.6039505004883,1,6.960395350455906,19,132.247512817383,15,104.40592956543,14367
138,Long Branch,19,76,577.90283203125,21,159.683670043945,24,182.495620727539,0,0.0,6,45.6239051818848,0,0.0,17,129.267730712891,3,22.8119525909424,13151
139,New Toronto,18,118,903.245544433594,19,145.437850952148,24,183.710968017578,0,0.0,10,76.5462341308594,2,15.309246785058175,32,244.947952270508,12,91.8554840087891,13064
140,Stonegate-Queensway,16,137,465.637969970703,57,193.732574462891,64,217.524307250977,1,3.3988172116103597,12,40.7858047485352,4,13.595268846441439,38,129.155059814453,20,67.9763412475586,29422
141,Kingsway South,15,53,513.118408203125,13,125.859230041504,28,271.081420898438,0,0.0,3,29.0444374084473,0,0.0,5,48.407398223877,6,58.0888748168945,10329
